T19,Consumer Price Index,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
218,Ecuador,2010,Consumer price index: General,100.0,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
218,Ecuador,2015,Consumer price index: General,121.5,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
218,Ecuador,2021,Consumer price index: General,123.9,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
218,Ecuador,2023,Consumer price index: General,131.0,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
218,Ecuador,2024,Consumer price index: General,133.1,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
218,Ecuador,2005,Consumer price index: Food,70.7,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
218,Ecuador,2010,Consumer price index: Food,100.0,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
218,Ecuador,2015,Consumer price index: Food,125.2,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
218,Ecuador,2021,Consumer price index: Food,126.8,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
218,Ecuador,2023,Consumer price index: Food,140.9,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
218,Ecuador,2024,Consumer price index: Food,144.0,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
818,Egypt,2000,Consumer price index: General,45.1,For urban population only.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
818,Egypt,2005,Consumer price index: General,57.8,For urban population only.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
818,Egypt,2010,Consumer price index: General,100.0,For urban population only.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
818,Egypt,2015,Consumer price index: General,156.8,For urban population only.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
818,Egypt,2021,Consumer price index: General,319.0,For urban population only.;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
818,Egypt,2023,Consumer price index: General,486.4,For urban population only.;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
818,Egypt,2024,Consumer price index: General,623.9,For urban population only.;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
818,Egypt,2015,Consumer price index: Food,194.1,Index base: January 2010=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
818,Egypt,2021,Consumer price index: Food,105.0,For urban population only.;Base: July 2018-June 2019=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
818,Egypt,2023,Consumer price index: Food,212.6,For urban population only.;Base: July 2018-June 2019=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
222,El Salvador,2000,Consumer price index: General,71.4,Urban areas.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
222,El Salvador,2005,Consumer price index: General,84.2,Urban areas.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
222,El Salvador,2010,Consumer price index: General,100.0,Urban areas.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
222,El Salvador,2015,Consumer price index: General,108.2,Urban areas.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
222,El Salvador,2021,Consumer price index: General,114.7,Urban areas.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
222,El Salvador,2023,Consumer price index: General,127.9,Urban areas.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
226,Equatorial Guinea,2000,Consumer price index: General,56.0,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
226,Equatorial Guinea,2005,Consumer price index: General,77.5,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
226,Equatorial Guinea,2010,Consumer price index: General,100.0,Break in the time series.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
226,Equatorial Guinea,2015,Consumer price index: General,118.6,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
226,Equatorial Guinea,2021,Consumer price index: General,130.1,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
226,Equatorial Guinea,2010,Consumer price index: Food,100.0,Estimate.;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
226,Equatorial Guinea,2015,Consumer price index: Food,123.4,Estimate.;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
233,Estonia,2000,Consumer price index: General,66.5,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
233,Estonia,2005,Consumer price index: General,79.1,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
233,Estonia,2010,Consumer price index: General,100.0,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
233,Estonia,2015,Consumer price index: General,111.5,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
233,Estonia,2021,Consumer price index: General,127.3,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
233,Estonia,2023,Consumer price index: General,165.9,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
233,Estonia,2024,Consumer price index: General,171.7,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
233,Estonia,2000,Consumer price index: Food,65.2,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
233,Estonia,2005,Consumer price index: Food,77.1,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
233,Estonia,2010,Consumer price index: Food,100.0,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
233,Estonia,2015,Consumer price index: Food,118.0,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
233,Estonia,2021,Consumer price index: Food,137.8,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
233,Estonia,2023,Consumer price index: Food,191.3,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
233,Estonia,2024,Consumer price index: Food,197.5,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
748,Eswatini,2000,Consumer price index: General,50.3,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
748,Eswatini,2005,Consumer price index: General,69.5,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
748,Eswatini,2010,Consumer price index: General,100.0,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
748,Eswatini,2015,Consumer price index: General,77.8,Base: June 2020 = 100,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
748,Eswatini,2021,Consumer price index: General,103.4,Base: June 2020 = 100,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
748,Eswatini,2023,Consumer price index: General,113.6,Base: June 2020 = 100,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
748,Eswatini,2024,Consumer price index: General,118.8,Base: June 2020 = 100,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
748,Eswatini,2015,Consumer price index: Food,75.3,Base: June 2020 = 100,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
748,Eswatini,2021,Consumer price index: Food,104.3,Base: June 2020 = 100,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
748,Eswatini,2023,Consumer price index: Food,126.6,Base: June 2020 = 100,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
748,Eswatini,2024,Consumer price index: Food,133.1,Base: June 2020 = 100,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
231,Ethiopia,2000,Consumer price index: General,37.6,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
231,Ethiopia,2005,Consumer price index: General,0.0,Estimate.;Break in the time series.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
231,Ethiopia,2010,Consumer price index: General,100.0,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
231,Ethiopia,2015,Consumer price index: General,205.0,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
231,Ethiopia,2021,Consumer price index: General,486.9,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
231,Ethiopia,2023,Consumer price index: General,849.3,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
231,Ethiopia,2024,Consumer price index: General,"1,026.0",Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
231,Ethiopia,2005,Consumer price index: Food,43.0,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
231,Ethiopia,2010,Consumer price index: Food,100.0,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
231,Ethiopia,2015,Consumer price index: Food,222.9,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
231,Ethiopia,2021,Consumer price index: Food,573.8,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
242,Fiji,2000,Consumer price index: General,70.1,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
242,Fiji,2005,Consumer price index: General,80.8,Break in the time series.;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
242,Fiji,2010,Consumer price index: General,100.0,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
242,Fiji,2015,Consumer price index: General,116.4,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
242,Fiji,2021,Consumer price index: General,129.1,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
242,Fiji,2023,Consumer price index: General,137.8,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
242,Fiji,2024,Consumer price index: General,144.1,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
242,Fiji,2010,Consumer price index: Food,100.0,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
242,Fiji,2015,Consumer price index: Food,127.5,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
242,Fiji,2021,Consumer price index: Food,149.2,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
242,Fiji,2023,Consumer price index: Food,170.3,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
242,Fiji,2024,Consumer price index: Food,182.3,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
246,Finland,2000,Consumer price index: General,86.1,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
246,Finland,2005,Consumer price index: General,91.2,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
246,Finland,2010,Consumer price index: General,100.0,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
246,Finland,2015,Consumer price index: General,108.8,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
246,Finland,2021,Consumer price index: General,115.1,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
246,Finland,2023,Consumer price index: General,131.0,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
246,Finland,2024,Consumer price index: General,133.1,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
246,Finland,2000,Consumer price index: Food,82.5,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
246,Finland,2005,Consumer price index: Food,90.3,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
246,Finland,2010,Consumer price index: Food,100.0,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
246,Finland,2015,Consumer price index: Food,115.7,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
246,Finland,2021,Consumer price index: Food,119.5,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
246,Finland,2023,Consumer price index: Food,144.0,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
246,Finland,2024,Consumer price index: Food,144.0,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
250,France,2000,Consumer price index: General,84.4,Calculated by the UN Statistics Division from national indices.;All households. Metropolitan France and overseas departments.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
250,France,2005,Consumer price index: General,92.8,Calculated by the UN Statistics Division from national indices.;All households. Metropolitan France and overseas departments.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
250,France,2010,Consumer price index: General,100.0,Calculated by the UN Statistics Division from national indices.;All households. Metropolitan France and overseas departments.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
250,France,2015,Consumer price index: General,105.6,Calculated by the UN Statistics Division from national indices.;All households. Metropolitan France and overseas departments.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
250,France,2021,Consumer price index: General,112.4,Calculated by the UN Statistics Division from national indices.;All households. Metropolitan France and overseas departments.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
250,France,2023,Consumer price index: General,124.0,Calculated by the UN Statistics Division from national indices.;All households. Metropolitan France and overseas departments.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
250,France,2024,Consumer price index: General,126.5,Calculated by the UN Statistics Division from national indices.;All households. Metropolitan France and overseas departments.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
250,France,2000,Consumer price index: Food,82.0,Calculated by the UN Statistics Division from national indices.;All households. Metropolitan France and overseas departments.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
250,France,2005,Consumer price index: Food,91.5,Calculated by the UN Statistics Division from national indices.;All households. Metropolitan France and overseas departments.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
250,France,2010,Consumer price index: Food,100.0,Calculated by the UN Statistics Division from national indices.;All households. Metropolitan France and overseas departments.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
250,France,2015,Consumer price index: Food,105.7,Calculated by the UN Statistics Division from national indices.;All households. Metropolitan France and overseas departments.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
250,France,2021,Consumer price index: Food,115.2,Calculated by the UN Statistics Division from national indices.;All households. Metropolitan France and overseas departments.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
250,France,2023,Consumer price index: Food,138.8,Calculated by the UN Statistics Division from national indices.;All households. Metropolitan France and overseas departments.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
250,France,2024,Consumer price index: Food,140.7,Calculated by the UN Statistics Division from national indices.;All households. Metropolitan France and overseas departments.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
254,French Guiana,2010,Consumer price index: General,100.0,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
254,French Guiana,2015,Consumer price index: General,105.4,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
254,French Guiana,2023,Consumer price index: General,117.6,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
254,French Guiana,2024,Consumer price index: General,121.1,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
254,French Guiana,2010,Consumer price index: Food,100.0,Calculated by the UN Statistics Division from national indices.;Data refers to food only.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
254,French Guiana,2015,Consumer price index: Food,109.7,Calculated by the UN Statistics Division from national indices.;Data refers to food only.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
254,French Guiana,2023,Consumer price index: Food,135.1,Calculated by the UN Statistics Division from national indices.;Data refers to food only.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
254,French Guiana,2024,Consumer price index: Food,141.6,Calculated by the UN Statistics Division from national indices.;Data refers to food only.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
266,Gabon,2000,Consumer price index: General,81.6,Estimate.;Libreville and Owendo.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
266,Gabon,2005,Consumer price index: General,88.7,Estimate.;Libreville and Owendo.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
266,Gabon,2010,Consumer price index: General,100.0,Estimate.;Libreville and Owendo.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
266,Gabon,2015,Consumer price index: General,109.0,Estimate.;Libreville and Owendo.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
266,Gabon,2021,Consumer price index: General,125.6,Estimate.;Libreville and Owendo.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
266,Gabon,2023,Consumer price index: General,135.7,Estimate.;Libreville and Owendo.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
266,Gabon,2024,Consumer price index: General,137.3,Estimate.;Libreville and Owendo.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
266,Gabon,2010,Consumer price index: Food,100.0,Estimate.;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
266,Gabon,2015,Consumer price index: Food,115.9,Estimate.;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
270,Gambia,2000,Consumer price index: General,51.0,"Banjul, Kombo St. Mary","United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
270,Gambia,2005,Consumer price index: General,81.1,"Banjul, Kombo St. Mary","United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
270,Gambia,2010,Consumer price index: General,100.0,"Banjul, Kombo St. Mary","United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
270,Gambia,2015,Consumer price index: General,130.7,"Banjul, Kombo St. Mary","United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
270,Gambia,2021,Consumer price index: General,196.5,"Banjul, Kombo St. Mary","United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
270,Gambia,2023,Consumer price index: General,256.3,"Banjul, Kombo St. Mary","United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
270,Gambia,2015,Consumer price index: Food,186.0,Estimate.;Index base: August 2004=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
268,Georgia,2000,Consumer price index: General,54.9,Data refer to 5 cities only.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
268,Georgia,2005,Consumer price index: General,70.0,Data refer to 5 cities only.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
268,Georgia,2010,Consumer price index: General,100.0,Data refer to 5 cities only.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
268,Georgia,2015,Consumer price index: General,114.7,Data refer to 5 cities only.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
268,Georgia,2021,Consumer price index: General,154.0,Data refer to 5 cities only.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
268,Georgia,2023,Consumer price index: General,176.6,Data refer to 5 cities only.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
268,Georgia,2024,Consumer price index: General,178.6,Data refer to 5 cities only.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
268,Georgia,2010,Consumer price index: Food,100.0,Data refer to 5 cities only.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
268,Georgia,2015,Consumer price index: Food,120.5,Data refer to 5 cities only.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
276,Germany,2000,Consumer price index: General,85.7,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
276,Germany,2005,Consumer price index: General,92.5,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
276,Germany,2010,Consumer price index: General,100.0,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
276,Germany,2015,Consumer price index: General,106.9,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
276,Germany,2021,Consumer price index: General,109.1,Index base: 2015=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
276,Germany,2023,Consumer price index: General,116.7,Base 2020 = 100,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
276,Germany,2024,Consumer price index: General,119.3,Base 2020 = 100,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
276,Germany,2000,Consumer price index: Food,84.9,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
276,Germany,2005,Consumer price index: Food,89.1,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
276,Germany,2010,Consumer price index: Food,100.0,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
276,Germany,2015,Consumer price index: Food,112.3,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
276,Germany,2021,Consumer price index: Food,113.1,Index base: 2015=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
276,Germany,2023,Consumer price index: Food,130.3,Base 2020 = 100,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
276,Germany,2024,Consumer price index: Food,132.8,Base 2020 = 100,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
288,Ghana,2000,Consumer price index: General,19.2,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2025."
